PM2.5,NO2,NH3,SO2,O3,AQI,Y_Pred,Y Class,Y_Pred Class
73.8,25.18,10.47,6.3,27.76,145,141.8196044,Moderate,Very Poor
69.28,41.89,13.36,4.14,27.59,142,142.6950294,Moderate,Very Poor
70.45,39.33,12.32,5.1,27.91,180,126.6264766,Moderate,Very Poor
60.15,35.63,11.38,8.42,24.15,130,125.4397557,Moderate,Very Poor
57.57,36.72,10.85,1.23,24.15,102,136.8478133,Moderate,Very Poor
67.8,26.61,15,0.91,24.15,113,135.6768803,Moderate,Very Poor
70.85,45.19,13.97,32.85,24.15,136,132.8587898,Moderate,Very Poor
63.16,49.3,14,9.32,24.15,130,125.2479915,Moderate,Very Poor
55.47,58.18,18.24,6.67,24.15,115,113.7833337,Moderate,Poor
51.62,19.39,16.77,3.44,24.15,108,160.9784974,Moderate,Very Poor
85.26,37.2,20.97,2.69,24.15,139,103.0694826,Moderate,Poor
44.26,34.41,16.24,4.29,11.32,140,79.66273593,Moderate,Moderate
28.97,16.92,16.06,5.86,11.91,100,90.05586152,Satisfactory,FALSE
35.16,22.34,14.54,6.65,17.11,107,100.0966359,Moderate,Poor
44.1,16.92,14.63,11.24,19.53,124,119.6835664,Moderate,Poor
57.31,20.94,18.01,9.54,23.77,130,116.3352526,Moderate,Poor
54.28,24.85,23.82,18.14,31.3,201,124.4641922,Poor,Very Poor
60.64,25.94,32.5,16.28,28.72,126,115.670667,Moderate,Poor
53.69,29.04,19.91,9.01,20.45,153,107.4462821,Moderate,Poor
49.2,33.32,17.07,21.84,21.28,176,154.2867911,Moderate,Very Poor
82.63,43.83,18.78,17.42,22.25,146,176.1495947,Moderate,Very Poor
100.77,22.81,17.5,10.63,23.81,208,201.7880222,Poor,Very Poor
120.24,23.93,27.53,10.36,24.4,285,136.7693212,Poor,Very Poor
70.64,20.05,53.13,10.03,25.08,178,163.7557694,Moderate,Very Poor
91.69,19.7,56.05,10.54,24.75,209,148.991311,Poor,Very Poor
79.98,19.21,50.22,9.98,25.84,201,158.5637971,Poor,Very Poor
87.7,19.56,58.39,11.85,26.06,196,157.8665456,Moderate,Very Poor
83.47,49.11,55.27,15.11,26.21,156,169.6360282,Moderate,Very Poor
97.96,16.44,52.02,16.19,24.28,135,174.2200703,Moderate,Very Poor
97.74,16.72,53.87,14.97,39.53,197,159.0798746,Moderate,Very Poor
85.55,16.47,51.63,13.12,40.22,200,166.8625311,Moderate,Very Poor
90.87,17.24,55.21,10.51,40.41,166,144.1785593,Moderate,Very Poor
78.25,17.43,54.03,18.74,26.44,148,211.6679673,Moderate,Very Poor
125.51,17.14,58.32,11.06,40.59,177,195.8294699,Moderate,Very Poor
113.78,15.58,52.12,12.79,40.91,235,204.8257574,Poor,Very Poor
119.68,16.33,56.9,11.4,43.83,277,189.9905154,Poor,Very Poor
105.59,20.24,53.36,11.34,52.84,221,181.1799174,Poor,Very Poor
100.5,21.32,58.98,10.99,44.51,204,188.0557626,Poor,Very Poor
102.97,25.74,52.25,9.7,52.73,206,218.9071173,Poor,Very Poor
127.46,29.99,55.9,11.03,48.19,211,218.1608425,Poor,Very Poor
129.49,14.97,53.25,11.45,46.7,216,180.8073963,Poor,Very Poor
100.13,14.35,54.95,9.62,47.98,220,192.9217885,Poor,Very Poor
108.88,16.12,58.26,10.79,50.59,203,193.8554652,Poor,Very Poor
111.48,15.66,57.97,10.8,42.62,207,144.565831,Poor,Very Poor
73.81,16.64,53.98,11.32,40.96,200,128.6696735,Moderate,Very Poor
60.15,15.47,55.75,9.55,46.33,125,130.3113093,Moderate,Very Poor
61.59,15.4,52.11,10.2,46.1,150,133.4907087,Moderate,Very Poor
64.94,15.86,53.63,11.71,43.28,119,128.3098547,Moderate,Very Poor
61.26,15.26,50.27,14.35,44.62,121,126.8216753,Moderate,Very Poor
58.49,15.22,57.02,11.19,49.07,144,128.6720033,Moderate,Very Poor
58.84,15.13,54.34,7.89,50.75,117,128.5583952,Moderate,Very Poor
60.75,15.08,52.24,9.5,43.42,121,125.743933,Moderate,Very Poor
58.12,15.31,57.06,9.94,45.84,118,126.3909764,Moderate,Very Poor
58.33,15.4,57.11,9.48,46.63,117,125.7968353,Moderate,Very Poor
59.87,14.98,52.87,8.94,37.5,165,113.468586,Moderate,Poor
49.91,13.37,53.49,8.31,39.99,118,116.3176542,Moderate,Poor
53.53,12.39,54.26,10.04,35.97,120,106.5930613,Moderate,Poor
45.43,11.22,55,6.89,36.51,114,117.5978025,Moderate,Poor
