PM2.5,CO,NO2,,,Y,Y_Pred,Y_Class,Y_Pred_Class
70.94,0.87,12.25,,,176,139.7461103,Moderate,Moderate
69.38,1.02,18.52,,,179,139.6090394,Moderate,Moderate
48.07,0.81,27.69,,,110,107.6661823,Moderate,Moderate
81.09,0.98,11.73,,,144,154.8703431,Moderate,Moderate
105.94,1.09,18.98,,,229,188.8937788,Fair,Moderate
31.43,0.71,16.93,,,82,84.85139706,Satisfactory,Satisfactory
14.77,0.57,7.9,,,55,61.28181153,Satisfactory,Satisfactory
96.8,0.86,13.83,,,253,173.6067772,Fair,Moderate
60.19,0.03,28.48,,,125,111.5446453,Moderate,Moderate
77.03,0.03,14.45,,,141,134.6521957,Moderate,Moderate
54.15,0.65,12.57,,,122,114.173944,Moderate,Moderate
98.47,1.23,8.57,,,221,181.8651856,Fair,Moderate
63.29,0.74,15.79,,,118,127.4188551,Moderate,Moderate
98,0.1,13.5,,,215,163.4594923,Fair,Moderate
39.42,0.73,39.13,,,77,94.29083413,Satisfactory,Satisfactory
39.77,1.72,11.93,,,121,111.7885224,Moderate,Moderate
35.35,1.19,8.2,,,96,97.99944246,Satisfactory,Satisfactory
61.92,0.03,13.12,,,99,114.8029075,Satisfactory,Moderate
6.55,0.7,5.65,,,68,52.59067841,Satisfactory,Satisfactory
27.7,0.67,44.19,,,83,77.58003151,Satisfactory,Satisfactory
90.02,1.54,12.13,,,153,175.2846749,Moderate,Moderate
24.24,1.1,13.18,,,76,81.63459365,Satisfactory,Satisfactory
36.15,0.69,14.62,,,72,90.91576512,Satisfactory,Satisfactory
72.83,0.87,21.39,,,140,141.6587321,Moderate,Moderate
87.38,0.72,14.43,,,100,158.9766412,Satisfactory,Moderate
46.7,0.65,13.7,,,89,104.2737671,Satisfactory,Moderate
23.34,1,14.83,,,71,78.79620272,Satisfactory,Satisfactory
26.43,0.06,10.84,,,87,68.59163243,Satisfactory,Satisfactory
28.08,1.2,23.98,,,77,87.56049795,Satisfactory,Satisfactory
22.68,0.78,13.15,,,54,74.63054156,Satisfactory,Satisfactory
59.59,1.89,14.72,,,169,140.3872788,Moderate,Moderate
54,0.88,13.79,,,128,117.4548677,Moderate,Moderate
90.72,6.25,19.6,,,244,248.5609342,Fair,Fair
80.38,1.57,12.43,,,160,163.0119577,Moderate,Moderate
36.88,0,14.1,,,65,81.24286844,Satisfactory,Satisfactory
86.01,0.02,12.58,,,117,146.4632142,Moderate,Moderate
36.27,1.88,13.16,,,150,109.5669781,Moderate,Moderate
38.85,0,10.74,,,74,84.05527457,Satisfactory,Satisfactory
27.37,0.55,10.56,,,61,77.42604055,Satisfactory,Satisfactory
61.69,1.89,10.08,,,176,143.4525175,Moderate,Moderate
55.12,1.35,15.08,,,123,126.1177368,Moderate,Moderate
22.64,0.94,18.01,,,58,76.74293726,Satisfactory,Satisfactory
31.88,0.54,17.66,,,77,82.77008271,Satisfactory,Satisfactory
40.25,0.78,24.44,,,73,97.09231898,Satisfactory,Satisfactory
52.29,1.04,10.92,,,113,117.8552847,Moderate,Moderate
45.49,0.61,15.44,,,84,101.9484295,Satisfactory,Moderate
32.43,3.09,16.81,,,125,122.9785386,Moderate,Moderate
27.82,0.78,18.82,,,68,81.05119281,Satisfactory,Satisfactory
132.38,1.44,17.75,,,370,229.2645818,Poor,Fair
34.65,0.78,28.92,,,84,89.41988824,Satisfactory,Satisfactory
29.14,0.1,28.6,,,78,71.65681622,Satisfactory,Satisfactory
52.34,0.7,11.84,,,138,112.6056089,Moderate,Moderate
48.11,0.71,24.86,,,86,106.3525392,Satisfactory,Moderate
31.6,0.94,17.18,,,67,88.61611263,Satisfactory,Satisfactory
42.08,0.8,16.23,,,112,100.3374437,Moderate,Very Poor
45.1,0.13,13.78,,,80,94.11749601,Satisfactory,Satisfactory
41.44,0.05,10.59,,,80,88.25476568,Satisfactory,Satisfactory
49.48,0.93,18.01,,,93,111.996857,Satisfactory,Moderate
26.7,1.21,11.22,,,142,86.70532744,Moderate,Satisfactory
29.95,0.33,10.95,,,120,77.40320711,Moderate,Satisfactory
23.76,8.68,16.71,,,372,197.9812875,Poor,Moderate
47.4,0.63,15.4,,,78,104.7799755,Satisfactory,Moderate
40.37,0.27,10.36,,,93,90.25949313,Satisfactory,Satisfactory
69.03,2.71,17.22,,,147,165.3611903,Moderate,Moderate
55.67,0,26.7,,,81,105.2308882,Satisfactory,Moderate
53.53,1.97,12.39,,,120,133.7776837,Moderate,Moderate
39.42,0.85,5.39,,,71,98.29013522,Satisfactory,Satisfactory
36.15,0.97,22.47,,,71,94.74642318,Satisfactory,Satisfactory
32.37,1.21,16.34,,,88,93.86012544,Satisfactory,Satisfactory
46.17,1.49,5.56,,,108,117.0801103,Moderate,Moderate
43.12,1.15,13.87,,,91,107.2712168,Satisfactory,Moderate
43.67,1.12,16.38,,,126,107.3734484,Moderate,Moderate
25.51,0.88,14.06,,,106,79.85241453,Moderate,Satisfactory
28.1,0.8,8.77,,,61,82.36840017,Satisfactory,Satisfactory
57.74,0.6,16.14,,,134,117.9100832,Moderate,Moderate
17.79,0.47,12.66,,,60,63.41725395,Satisfactory,Satisfactory
27.6,0.51,4.85,,,59,77.47378597,Satisfactory,Satisfactory
49.49,0.06,9.04,,,83,99.12779934,Satisfactory,Satisfactory
61.1,0.61,7.96,,,132,123.017124,Moderate,Moderate
42.48,0.03,15.05,,,76,89.03414827,Satisfactory,Satisfactory
28.3,0.93,15.79,,,103,84.19630029,Moderate,Satisfactory
53.37,0.67,19.51,,,83,113.013214,Satisfactory,Moderate
35.13,0.78,12.71,,,82,91.08310245,Satisfactory,Satisfactory
22.78,1.12,9.37,,,81,80.25982732,Satisfactory,Satisfactory
26.95,0.79,20.63,,,60,79.9430658,Satisfactory,Satisfactory
25.17,0.32,10.02,,,67,71.00168359,Satisfactory,Satisfactory
17.03,0.98,14.07,,,68,70.21080923,Satisfactory,Satisfactory
79.01,1.46,15.12,,,170,159.3328174,Moderate,Moderate
44.73,2.64,13.57,,,94,132.453089,Satisfactory,Moderate
53.72,0.28,20.64,,,108,107.3728535,Moderate,Moderate
36.7,0.82,23.67,,,65,93.07641574,Satisfactory,Satisfactory
54.83,0.6,7.41,,,117,114.62578,Moderate,Moderate
72.94,0.02,17.57,,,148,128.9036162,Moderate,Moderate
34.35,1.1,15.09,,,101,94.85080263,Moderate,Satisfactory
54.13,1.42,26.17,,,208,125.1893911,Fair,Moderate
37.24,1.01,13.77,,,80,97.35568676,Satisfactory,Satisfactory
36.3,1.2,12.98,,,82,99.10362929,Satisfactory,Satisfactory
62.34,0.02,16.03,,,92,115.0174674,Satisfactory,Moderate
28.6,1.44,15.15,,,189,92.51851167,Moderate,Satisfactory
44.51,0.92,10.9,,,93,105.7373515,Satisfactory,Moderate
28.75,0.72,8.88,,,65,81.98193632,Satisfactory,Satisfactory
50.02,0.99,18.51,,,81,113.6052176,Satisfactory,Moderate
19.34,1.17,11.06,,,79,76.3873567,Satisfactory,Satisfactory
54.28,9.48,24.85,,,201,250.0972798,Fair,Fair
8.06,0.59,11.64,,,56,52.50128382,Satisfactory,Satisfactory
47.98,0.72,16.8,,,111,106.8477892,Moderate,Moderate
32.14,0.95,12.66,,,188,89.77032693,Moderate,Satisfactory
54.85,1.36,8.39,,,113,126.3412433,Moderate,Moderate
17.27,1.01,9.96,,,73,71.25244471,Satisfactory,Satisfactory
36.18,1,15.55,,,79,95.68956336,Satisfactory,Satisfactory
53.66,0.83,20.86,,,80,115.7839845,Satisfactory,Moderate
61.78,0.94,13.51,,,130,128.6641248,Moderate,Moderate
72.86,0,17.11,,,104,128.5180588,Moderate,Moderate
42.37,1.03,15.42,,,141,104.3278206,Moderate,Moderate
57.22,0.13,15.53,,,87,109.9955543,Satisfactory,Moderate
41.09,0.74,23.47,,,73,97.64362643,Satisfactory,Satisfactory
53.58,6.18,15.06,,,186,198.770274,Moderate,Moderate
41.54,1.67,10.28,,,130,113.4553118,Moderate,Moderate
266.29,1.27,50.12,,,408,401.2393477,Very Poor,Very Poor
44.9,0.25,15.34,,,81,95.6100011,Satisfactory,Satisfactory
70.73,0.86,14.19,,,168,139.191179,Moderate,Moderate
59.54,1.07,18.69,,,111,127.3899793,Moderate,Moderate
37.98,0.2,12.86,,,78,85.8652871,Satisfactory,Satisfactory
74.23,0.98,13.88,,,116,145.6837106,Moderate,Moderate
43.63,0.69,10.82,,,93,101.02517,Satisfactory,Moderate
29.11,0.14,13.67,,,55,73.18437665,Satisfactory,Satisfactory
48.43,0,7.46,,,81,96.90205396,Satisfactory,Satisfactory
35.94,0.59,18.76,,,84,88.82943988,Satisfactory,Satisfactory
79.23,0.94,18.07,,,179,151.3952141,Moderate,Moderate
23.89,1.21,17.22,,,112,82.61701082,Moderate,Satisfactory
55.2,0.03,13.75,,,244,105.8975494,Fair,Moderate
93.71,0.08,32.16,,,224,156.3050358,Fair,Moderate
33.44,0.94,19.56,,,78,90.89229972,Satisfactory,Satisfactory
39.48,0.56,11.43,,,96,93.50144421,Satisfactory,Satisfactory
38.14,0.71,16.52,,,81,93.72958398,Satisfactory,Satisfactory
41.07,0.02,10.36,,,81,87.31739006,Satisfactory,Satisfactory
91.75,0,18.12,,,183,153.3744267,Moderate,Moderate
89.42,0.81,14.95,,,181,163.0264679,Moderate,Moderate
