PM2.5,NO2,CO,O3,AQI,Y_Pred
16.68,13.39,0.57,56.49,76.0,70.82502695881013
42.26,22.66,0.77,34.07,86.0,98.20408707073574
62.24,14.06,1.05,21.53,100.0,124.89240464104182
33.28,20.68,0.95,38.58,125.0,90.30965204096903
64.05,11.13,0.82,20.81,132.0,124.84823113981764
50.86,20.61,0.97,29.6,113.0,110.59874333164548
48.91,27.47,0.02,19.72,78.0,93.39615533895886
65.3,52.6,1.03,30.18,126.0,124.93546393374811
63.96,18.78,0.13,41.66,123.0,121.47862531114097
36.03,15.48,0.63,14.83,86.0,84.35650977414299
62.41,11.1,0.44,33.57,93.0,121.97777178041544
61.8651,22.22,1.05,35.5,69.0,127.03427241315171
56.67,19.64,1.79,30.59,106.0,127.85359193597205
51.21,23.99,0.24,25.72,83.0,101.08926138267249
32.83,16.09,0.8,8.98,81.0,80.45837789722799
68.25,10.96,0.1,30.2,144.0,124.6676034187273
26.42,12.96,1.1,68.51,95.0,92.81230093107136
40.6,12.43,0.97,35.54,102.0,100.38283131037984
97.96,18.91,0.93,6.92,134.0,164.5121367716106
60.55,13.45,0.99,52.24,149.0,130.72849551947166
79.19,25.72,0.15,45.45,163.0,141.22017493908814
40.96,6.76,1.28,36.71,100.0,105.60788243490863
51.8,34.91,0.92,18.9,150.0,105.98483622392294
64.9,19.19,1.78,15.53,176.0,134.1582794095791
43.14,14.58,0.12,33.55,80.0,93.03596978116563
58.42,14.41,1.17,13.79,102.0,119.13938485975136
26.37,13.94,0.78,44.92,105.0,82.3359524919535
65.38,11.74,1.43,17.51,109.0,132.5044670504252
41.56,9.17,0.86,30.61,76.0,99.49252618970732
59.15,18.86,0.68,48.46,130.0,123.47924789238294
62.63,12.09,6.75,37.11,211.0,195.18366573491318
60.73,16.53,0.86,23.39,134.0,120.9148566242783
35.03,11.77,0.9,45.56,114.0,95.34263487953488
80.23,21.76,2.73,30.64,220.0,168.50998473006536
40.39,16.66,0.83,4.89,71.0,89.26935145359596
